Edition,Years,Movie,personnage,Nominee,Category,Won
1,1927,Chang,,Paramount Famous Lasky,Unique and Artistic Picture (archaic category),0
1,1927,7th Heaven,,Frank Borzage,Directing,1
1,1927,Speedy,,Ted Wilde,Directing,0
1,1927,Two Arabian Knights,,Lewis Milestone,Directing,1
1,1927,Sunrise,,Karl Struss,Cinematography,1
1,1927,Sunrise,,Charles Rosher,Cinematography,1
1,1927,The Devil Dancer; The Magic Flame; and Sadie Thompson,,George Barnes,Cinematography,0
1,1927,7th Heaven,,Harry Oliver,Art Direction,0
1,1927,Sorrell and Son,,Herbert Brenon,Directing,0
1,1927,The Dove; and Tempest,,William Cameron Menzies,Art Direction,1
1,1927,,,"To Charles Chaplin, for acting, writing, directing and producing The Circus.[NOTE: The Academy Board of Judges on merit awards for individual achievements in motion picture arts during the year ending August 1, 1928, unanimously decided that your name should be removed from the competitive classes, and that a special first award be conferred upon you for writing, acting, directing and producing The Circus. The collective accomplishments thus displayed place you in a class by yourself. (Letter from the Academy to Mr. Chaplin, dated February 19, 1929.)]",Acting (other),1
1,1927,Sadie Thompson ,Sadie Thompson,Gloria Swanson,Actress -- Leading Role,0
1,1927,7th Heaven ,Diane; Street Angel ,Janet Gaynor,Actress -- Leading Role,1
1,1927,A Ship Comes In ,Mrs. Pleznik,Louise Dresser,Actress -- Leading Role,0
1,1927,,,"To Charles Chaplin, for acting, writing, directing and producing The Circus.[NOTE: The Academy Board of Judges on merit awards for individual achievements in motion picture arts during the year ending August 1, 1928, unanimously decided that your name should be removed from the competitive classes, and that a special first award be conferred upon you for writing, acting, directing and producing The Circus. The collective accomplishments thus displayed place you in a class by yourself. (Letter from the Academy to Mr. Chaplin, dated February 19, 1929.)]",Actor -- Leading Role,1
1,1927,The Last Command ,General Dolgorucki [Grand Duke Sergius Alexander]; and The Way of All Flesh ,Emil Jannings,Actor -- Leading Role,1
1,1927,The Noose ,Nickie Elkins; and The Patent Leather Kid ,Richard Barthelmess,Actor -- Leading Role,0
1,1927,Sunrise,,Rochus Gliese,Art Direction,0
1,1927,The Crowd,,King Vidor,Directing,0
1,1927,The Crowd,,Metro-Goldwyn-Mayer,Unique and Artistic Picture (archaic category),0
1,1927,The Racket,,The Caddo Company,Best Picture,0
1,1927,Sunrise,,Fox,Unique and Artistic Picture (archaic category),1
